19 16
cruz (1, 1) 321
estaca (5, 1) 383
humano CV (2, 2) 052
humano (4, 2) 048
zombi (4, 3) 150
humano (3, 4) 002
vampiro (5, 5) 205
zombi (1, 6) 115
Nosferatu (2, 7) 200
escopeta (5, 7) 342
agua 5 (3, 8) 302
Vanesa (7, 2) 000
bala 2 (9, 2) 365
cruz (6, 4) 385
escopeta (8, 5) 345
humano (8, 7) 009
agua 20 (10, 7) 309
vampiro (5, 9) 220
bala 5 (1, 10) 370
humano (4, 12) 039
Vampirella (2, 13) 201
estaca (2, 15) 
agua 7 (5, 15)
humano CV (9, 10)
humano CV (7, 11)
bala 20 (8, 13)
escopeta (10, 14)
vampiro (9, 15)
